datetime,timestamp,price,coin_id,vs_currency,market_cap,volume
2025-02-07 19:00:00,1738972800000,2.392435922501591,ripple,usd,137991646571.74292,7913782642.824578
2025-02-08 19:00:00,1739059200000,2.4256391631678023,ripple,usd,140105845431.88702,3450039945.4201026
2025-02-09 19:00:00,1739145600000,2.3984218500627317,ripple,usd,138409786399.36917,4110259067.581117
2025-02-10 19:00:00,1739232000000,2.4205102148292257,ripple,usd,139801386331.32983,4147958037.3114934
2025-02-11 19:00:00,1739318400000,2.415999707081464,ripple,usd,139710665798.44403,4814243274.422465
2025-02-12 19:00:00,1739404800000,2.471858085297504,ripple,usd,142635962453.91898,4845109298.913685
2025-02-13 19:00:00,1739491200000,2.5469915483007073,ripple,usd,147228408835.623,4437008065.063592
2025-02-14 19:00:00,1739577600000,2.7396888464817004,ripple,usd,158349869676.88498,7692468675.335378
2025-02-15 19:00:00,1739664000000,2.761982091436805,ripple,usd,159697712640.8593,3946216492.011967
2025-02-16 19:00:00,1739750400000,2.7251894289423855,ripple,usd,157590298702.77087,2966410173.436753
2025-02-17 19:00:00,1739836800000,2.657177556541445,ripple,usd,153528550403.44104,4243544437.8198156
2025-02-18 19:00:00,1739923200000,2.5598643991689105,ripple,usd,147965082000.5594,4627790087.108664
2025-02-19 19:00:00,1740009600000,2.735199200390807,ripple,usd,158268061805.8835,4421689360.016513
2025-02-20 19:00:00,1740096000000,2.692229831317779,ripple,usd,155803376373.91476,3770413761.6316905
2025-02-21 19:00:00,1740182400000,2.5717797656907977,ripple,usd,148872353458.57578,5146660908.7574835
2025-02-22 19:00:00,1740268800000,2.575864230459674,ripple,usd,149186293144.36478,2039899166.1574712
2025-02-23 19:00:00,1740355200000,2.5798851271909053,ripple,usd,149332625214.34015,2072248429.8119543
2025-02-24 19:00:00,1740441600000,2.276184020826259,ripple,usd,131520287326.65497,7132791349.200123
2025-02-25 19:00:00,1740528000000,2.3223450440589835,ripple,usd,134627197923.42966,11111605787.309338
2025-02-26 19:00:00,1740614400000,2.189561722001525,ripple,usd,126766064785.14323,5936591863.896251
2025-02-27 19:00:00,1740700800000,2.198289525306682,ripple,usd,127370369245.55621,4202173606.0705705
2025-02-28 19:00:00,1740787200000,2.1465990447641925,ripple,usd,124392769084.65245,7266804533.901892
2025-03-01 19:00:00,1740873600000,2.1894731626978965,ripple,usd,126879303287.73642,2722347817.663738
2025-03-02 19:00:00,1740960000000,2.9400745785854188,ripple,usd,169870381405.5461,14741402315.716309
2025-03-03 19:00:00,1741046400000,2.388920229250619,ripple,usd,138435194914.58316,12094018756.991077
2025-03-04 19:00:00,1741132800000,2.457837324155463,ripple,usd,142402404085.68878,9500571374.26868
2025-03-05 19:00:00,1741219200000,2.499863067769013,ripple,usd,144939887560.6096,5198767002.65725
2025-03-06 19:00:00,1741305600000,2.5997307467157778,ripple,usd,150505175945.87762,5916822614.47232
2025-03-07 19:00:00,1741392000000,2.380727791456965,ripple,usd,138185297003.6274,8328229777.709091
2025-03-08 19:00:00,1741478400000,2.3242332249590425,ripple,usd,134862079473.84915,3009552907.467017
2025-03-09 20:00:00,1741564800000,2.1362635270101267,ripple,usd,124005386868.27167,5104105960.491239
2025-03-10 20:00:00,1741651200000,2.029057833175655,ripple,usd,118387557436.81892,6907399289.102193
2025-03-11 20:00:00,1741737600000,2.169350707525431,ripple,usd,125957593301.54716,6722860049.514889
2025-03-12 20:00:00,1741824000000,2.2417249293681443,ripple,usd,129987896211.968,5394933491.485324
2025-03-13 20:00:00,1741910400000,2.2504187411894,ripple,usd,130684530591.66603,4700482638.06465
2025-03-14 20:00:00,1741996800000,2.3564128660327603,ripple,usd,136928855738.28758,3738755688.1164246
2025-03-15 20:00:00,1742083200000,2.392285579817487,ripple,usd,138962507103.3046,2903593748.7332563
2025-03-16 20:00:00,1742169600000,2.3009096388651695,ripple,usd,133729450717.8674,3149719385.5106583
2025-03-17 20:00:00,1742256000000,2.3408005213311123,ripple,usd,136034346384.5807,2955610989.2377267
2025-03-18 20:00:00,1742342400000,2.2893484606821164,ripple,usd,133056596229.87404,2950644595.364279
2025-03-19 20:00:00,1742428800000,2.5520572493716633,ripple,usd,148446009880.021,9834502912.85249
2025-03-20 20:00:00,1742515200000,2.4346891248225995,ripple,usd,141749550828.59042,4258912106.63044
2025-03-21 20:00:00,1742601600000,2.381259233831182,ripple,usd,138510356756.64886,3380818952.23797
2025-03-22 20:00:00,1742688000000,2.3671814913704625,ripple,usd,137633684733.8346,1482324406.8968267
2025-03-23 20:00:00,1742774400000,2.4358937819105337,ripple,usd,141666982426.27832,2036803299.3463094
2025-03-24 20:00:00,1742860800000,2.4467862393977193,ripple,usd,142182563236.7044,3267297475.9622283
2025-03-25 20:00:00,1742947200000,2.4520786954901945,ripple,usd,142530870243.74066,2336452138.4735017
2025-03-26 20:00:00,1743033600000,2.349686594688749,ripple,usd,136740698537.37582,2854543228.9574385
2025-03-27 20:00:00,1743120000000,2.339530083958925,ripple,usd,136083790198.2617,2422690506.5141454
